,as,marca,master
0,,,Arenas Club
1,Betis,Betis,Real Betis
2,Espanyol,Espanyol,RCD Espanyol
3,,,R. Oviedo
4,Valencia,Valencia,Valencia CF
5,Athletic,Athletic,Athletic Club
6,Barcelona,Barcelona,FC Barcelona
7,,,R. Racing C.
8,R. Sociedad,R. Sociedad,Real Sociedad
9,Real Madrid,R. Madrid,Real Madrid
10,Atlético,Atlético,Atlético de Madrid
11,,,CE Europa
12,,,Real Unión Club
13,,,Hércules CF
14,,,R. Zaragoza
15,Celta,Celta,RC Celta
16,Sevilla,Sevilla,Sevilla FC
17,,,CD Alcoyano
18,,,CE Sabadell
19,Deportivo,Deportivo,RC Deportivo
20,,,Nàstic
21,,,R. Valladolid CF
22,,,CD Castellón
23,,,Granada CF
24,,,Real Murcia
25,Alavés,Alavés,D. Alavés
26,,,CA Osasuna
27,,,R. Sporting
28,Málaga,Málaga,CD Málaga
29,,,R. Jaén
30,,,Lleida Esportiu
31,Las Palmas,Las Palmas,UD Las Palmas
32,Atlético,Atlético,Atético Tetuán
33,,,Córdoba CF
34,,,Pontevedra CF
35,,,Elche CF
36,Levante,Levante,Levante UD
37,,,Cultural Leonesa
38,,,RCD Mallorca
39,,,CD Condal
40,,,CD Tenerife
41,,,Salamanca
42,,,Burgos CF
43,,,RC Recreativo
44,,,Rayo Vallecano
45,,,Cádiz CF
46,,,AD Almería
47,,,CD Logroñés
48,,,Albacete B.
49,,,Real Burgos CF
50,,,CF Extremadura
51,Villarreal,Villarreal,Villarreal CF
52,,,SD Compostela
53,Málaga,Málaga,Málaga CF
54,,,CD Numancia
55,,,Mérida CP
56,Getafe,Getafe,Getafe CF
57,,,UD Almería
58,,,Xerez CD
59,Eibar,Eibar,SD Eibar
60,Leganés,Leganés,CD Leganés
,,Girona,Girona
